"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"23_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0.85","10","0.946360153256705","0.8697183098591549","0.9064220183486237","0.9789473684210527","0.9029126213592233","0.9393939393939394","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"23_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0.875","10","0.9714285714285714","0.8380281690140845","0.8998109640831757","0.9888888888888889","0.8640776699029126","0.9222797927461138","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"23_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0.8","10","0.9010238907849829","0.9295774647887324","0.9150779896013864","0.9339622641509434","0.9611650485436893","0.9473684210526316","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"23_10_9_dbpedia_kaggle_f","dbpedia","kaggle_f","23","0.9","10","0.9906976744186047","0.75","0.8537074148296594","0.9882352941176471","0.8155339805825242","0.8936170212765956","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"24_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","24","0.85","10","0.9496124031007752","0.8626760563380281","0.9040590405904059","0.9791666666666666","0.912621359223301","0.9447236180904524","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"24_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","24","0.875","10","0.948339483394834","0.9049295774647887","0.9261261261261261","0.96875","0.9029126213592233","0.9346733668341708","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"24_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","24","0.8","10","0.948339483394834","0.9049295774647887","0.9261261261261261","0.96875","0.9029126213592233","0.9346733668341708","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"25_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","25","0.85","10","0.990521327014218","0.7359154929577465","0.8444444444444444","0.9879518072289156","0.7961165048543689","0.8817204301075269","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"25_10_87_dbpedia_kaggle_f","dbpedia","kaggle_f","25","0.875","10","0.9739130434782609","0.7887323943661971","0.8715953307392996","0.9882352941176471","0.8155339805825242","0.8936170212765956","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"25_10_8_dbpedia_kaggle_f","dbpedia","kaggle_f","25","0.8","10","0.9676113360323887","0.8415492957746479","0.9001883239171375","0.9888888888888889","0.8640776699029126","0.9222797927461138","0","","0.0","0","n/a","0","n/a","n/a","n/a"
"26_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","26","0.85","10","0.9496124031007752","0.8626760563380281","0.9040590405904059","0.9791666666666666","0.912621359223301","0.9447236180904524","0","","0.0","0","n/a","0","n/a","n/a","n/a"
