"Experiment ID","Dataset 1","Dataset 2","Matching Rule ID","Matching Rule Threshold","Blocker ID","Precision (Train)","Recall (Train)","F1 (Train)","Precision (Test)","Recall (Test)","F1 (Test)","#corr","Duration","Reduction ratio","#blocked pairs","dateTime","#corr top1","Precision top1","Recall top1","F1 top1"
"21_10_9_forbes_kaggle_f","forbes","kaggle_f","21","0,9","10","0,981132075","0,48372093","0,647975078","0,915254237","0,771428571","0,837209302","2535","00:05:16","0.9935787802696053","6316297","28.11.2022 20:17","1358","1","0,4","0,571428571"
"21_11_9_dbpedia_forbes","dbpedia","forbes","21","0,9","11","0,988636364","0,488764045","0,654135338","0,979166667","0,734375","0,839285714","625","00:00:14","0.9627863194874974","360154","22.11.2022 21:09","484","0,975609756","0,625","0,761904762"
"18_11_87_dbpedia_forbes","dbpedia","forbes","18","0,875","11","1","0,550561798","0,710144928","0,980392157","0,78125","0,869565217","683","00:00:11","0.9627863194874974","360154","22.11.2022 21:09","520","0,976190476","0,640625","0,773584906"
"21_11_87_dbpedia_dw","dbpedia","dw","21","0,875","11","0,983695652","0,626297578","0,765327696","0,962025316","0,752475248","0,844444444","644","00:00:13","0.9639047817907086","336055","21.11.2022 23:39","492","0,983050847","0,574257426","0,725"
"25_10_85_dbpedia_kaggle_f","dbpedia","kaggle_f","25","0,85","10","1","0,480874317","0,649446494","0,980392157","0,724637681","0,833333333","3031","00:17:52","0.9936582749521268","-12144415","25.11.2022 11:29","1944","0,973684211","0,536231884","0,691588785"
"6_10_8_dw_kaggle_f","dw","kaggle_f","6","0,8","10","0,95505618","0,435897436","0,598591549","0,854545455","0,68115942","0,758064516","3091","00:03:29","0.9940586163356226","5622217","25.11.2022 20:21","1398","1","0,289855072","0,449438202"
"21_16_85_dbpedia_kaggle_f","dbpedia","kaggle_f","21","0,85","16","1","0,333333333","0,5","1","0,5","0,666666667","2292","00:03:57","0.9983593215055898","-3141902","28.11.2022 12:48","1336","1","0,4","0,571428571"
"22_11_8_dbpedia_dw","dbpedia","dw","22","0,8","11","0,984536082","0,660899654","0,790890269","0,967032967","0,871287129","0,916666667","635","00:00:18","0.9639047817907086","336055","23.11.2022 12:57","479","0,984126984","0,613861386","0,756097561"
"9_10_7_dw_kaggle_f","dw","kaggle_f","9","0,7","10","0,93877551","0,471794872","0,627986348","0,794871795","0,898550725","0,843537415","5726","00:03:34","0.9940586163356226","5622217","25.11.2022 21:39","1574","0,962962963","0,376811594","0,541666667"
"21_10_87_dw_kaggle_f","dw","kaggle_f","21","0,875","10","0,955555556","0,441025641","0,603508772","0,803030303","0,768115942","0,785185185","3085","00:04:36","0.9940586163356226","5622217","25.11.2022 20:36","1414","0,96","0,347826087","0,510638298"
