"Forbes202","Kaggle_4423924","0.4642857142857143","Brookfield Asset Management","ddm asset management ltd."
"Forbes1394","Kaggle_4075897","0.4634146341463415","Focus Media Information Technology","alfailaq for information technology"
"Forbes595","Kaggle_4537184","0.46153846153846156","Constellation Brands","constellation consulting"
"Forbes377","Kaggle_4181352","0.4594594594594595","Tata Consultancy Services","gentree consultancy services private limited"
"Forbes1096","Kaggle_4400960","0.4583333333333333","Shanghai Construction","mahan construction"
"Forbes1985","Kaggle_4354595","0.45714285714285713","Konica Minolta Business Solutions","cahaba business solutions, inc"
"Forbes135","Kaggle_4210888","0.45454545454545453","China Communications Construction","catts construction, inc."
"Forbes1394","Kaggle_4945612","0.4523809523809524","Focus Media Information Technology","information technology consultancy"
"Forbes1489","Kaggle_3654181","0.45161290322580644","Scripps Networks Interactive","photoworks interactive"
"Forbes1150","Kaggle_3857832","0.45","Renesas Electronics","dp electronics"
"Forbes202","Kaggle_3776968","0.4482758620689655","Brookfield Asset Management","harp asset management"
"Forbes377","Kaggle_4245392","0.4473684210526316","Tata Consultancy Services","language consultancy services private limited"
"Forbes71","Kaggle_4769102","0.44680851063829785","China State Construction Engineering","apex earth works (construction engineering)"
"Forbes54","Kaggle_3901333","0.4444444444444444","Intel","inteli staf"
"Forbes1394","Kaggle_3495600","0.4418604651162791","Focus Media Information Technology","worang information technology & design"
"Forbes1985","Kaggle_4554380","0.4411764705882353","Konica Minolta Business Solutions","business solutions plus"
"Forbes242","Kaggle_4567493","0.44","Abbott Laboratories","hemostat laboratories inc"
"Forbes1852","Kaggle_4422320","0.43902439024390244","NH Investment & Securities","advance investment securities australia pty ltd"
"Forbes1481","Kaggle_3518558","0.4375","KB Insurance","graff insurance"
"Forbes377","Kaggle_4098479","0.4358974358974359","Tata Consultancy Services","jb enviro training & consultancy services ltd"
"Forbes971","Kaggle_4850573","0.43478260869565216","Daito Trust Construction","fj construction limited"
"Forbes327","Kaggle_3521582","0.43333333333333335","China Cinda Asset Management","pt asset management, llc"
"Forbes1985","Kaggle_3683680","0.43243243243243246","Konica Minolta Business Solutions","prominent business solutions, inc."
"Forbes1394","Kaggle_3832951","0.4318181818181818","Focus Media Information Technology","deep institute& information technology"
"Forbes71","Kaggle_4691808","0.43137254901960786","China State Construction Engineering","vehicles transportation engineering & construction"
"Forbes1562","Kaggle_4585988","0.42857142857142855","Mercuries & Associates","scs associates, inc."
"Forbes1394","Kaggle_3544046","0.425531914893617","Focus Media Information Technology","chihuahua information technology clúster, a.c."
"Forbes1985","Kaggle_4578210","0.425","Konica Minolta Business Solutions","informica business solutions (pty) ltd"
"Forbes202","Kaggle_4341047","0.42424242424242425","Brookfield Asset Management","recovered asset management"
"Forbes622","Kaggle_4257459","0.4230769230769231","Murata Manufacturing","manufacturing machine corp"
"Forbes1394","Kaggle_3679599","0.4222222222222222","Focus Media Information Technology","universal steel information technology"
"Forbes618","Kaggle_4967324","0.42105263157894735","Siam Commercial Bank","print commercial"
"Forbes71","Kaggle_3669755","0.42","China State Construction Engineering","model architecture, engineering, construction"
"Forbes202","Kaggle_4085070","0.41935483870967744","Brookfield Asset Management","argyll asset management limited"
